time	intensity
0.024	40099
0.096	43697
0.13	63035
0.191	140483
0.232	265503
0.266	260911
0.324	240704
0.36	206331
0.397	215057
0.43	220338
0.468	181584
0.51	161956
0.548	157217
0.581	152500
0.619	148644
0.654	146458
0.68	144427
0.716	142202
0.754	141277
0.792	141381
0.822	140107
0.856	139685
0.894	139854
0.937	138346
0.977	138715
1.012	137734
1.042	137412
1.068	136714
1.102	135790
1.13	135336
1.154	135035
1.177	135322
1.199	137507
1.229	137617
1.247	138929
1.267	139525
1.294	139923
1.324	138818
1.359	137699
1.398	137964
1.435	139280
1.454	141423
1.478	143238
1.508	144227
1.536	146300
1.552	146706
1.569	147696
1.588	148398
1.616	148025
1.652	148661
1.683	149732
1.702	149607
1.723	149888
1.748	150137
1.769	150311
1.785	150944
1.802	150038
1.819	149877
1.837	150018
1.867	149608
1.897	150011
1.914	149474
1.938	149177
1.955	150012
1.972	150587
1.99	150977
2.008	150723
2.03	151612
2.046	151197
2.064	151421
2.081	151406
2.106	152167
2.124	152391
2.144	153223
2.169	153340
2.204	153040
2.237	151927
2.271	152977
2.305	153343
2.339	152711
2.369	152238
2.403	151680
2.435	151733
2.47	151651
2.486	151492
2.504	151480
2.523	151514
2.542	152213
2.563	152771
2.587	152342
2.606	151922
2.633	150901
2.666	150376
2.694	150215
2.721	149644
2.751	149057
2.785	148635
2.812	149178
2.83	148854
2.848	148708
2.877	148671
2.909	147223
2.929	147841
2.955	148194
2.972	148147
2.989	147911
3.007	148864
3.028	148205
3.053	147620
