"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.201291668E-2,-3.022604842E-1,2.462174072E-1,-6.252287364E-1,7.368143489E-1
2.200591669E-2,-2.212189889E-1,1.749187984E-1,-3.176961833E-1,4.248120667E-1
3.199991665E-2,-2.470092298E-2,3.929562807E-2,2.307849240E-1,2.354059539E-1
4.199391667E-2,1.529631432E-1,-1.748626652E-1,7.639182597E-1,7.984646407E-1
5.198691669E-2,3.185977509E-1,-2.784260637E-1,1.028259185E0,1.111909417E0
6.198091665E-2,3.487534500E-1,-2.242939299E-1,8.951093137E-1,9.864874147E-1
7.197391667E-2,3.835829017E-1,-9.235070474E-2,4.752628577E-1,6.176886586E-1
8.196791669E-2,4.147963621E-1,3.122676283E-2,-4.686777234E-2,4.186021032E-1
9.196091664E-2,3.149463109E-1,9.785183832E-2,-4.027690780E-1,5.205661257E-1
1.019549167E-1,2.292055545E-2,1.179602668E-1,-4.885915858E-1,5.031517804E-1
1.119479167E-1,-2.496253107E-1,1.510376003E-1,-4.514220053E-1,5.375006784E-1
1.219419166E-1,-4.849723785E-1,2.221072906E-1,-3.700129759E-1,6.491836865E-1
1.319359167E-1,-6.007222151E-1,3.710383583E-1,-2.961322367E-1,7.656571978E-1
1.419289167E-1,-5.924783719E-1,5.511950925E-1,-2.924414742E-1,8.604467834E-1
1.519229167E-1,-5.514981975E-1,5.786291320E-1,-4.066247320E-1,8.968308687E-1
1.619159167E-1,-4.833041679E-1,5.106990311E-1,-3.572058195E-1,7.886649583E-1
1.719099167E-1,-3.331869194E-1,2.990845690E-1,-9.842150331E-2,4.584232705E-1
1.819029167E-1,-2.067738446E-1,1.530497003E-1,1.875190365E-1,3.183441889E-1
1.918962083E-1,-8.784867760E-2,3.403269544E-2,4.657476836E-1,4.751805124E-1
2.018892083E-1,9.455056432E-2,-8.453443922E-2,6.167917889E-1,6.296967457E-1
2.118832084E-1,3.124723174E-1,-7.070665129E-2,4.018995970E-1,5.139665999E-1
2.218772083E-1,4.803155098E-1,7.342480257E-2,2.947008383E-1,5.682805423E-1
2.318702083E-1,4.799461851E-1,1.682325073E-1,1.175816596E-1,5.219923024E-1
2.418642084E-1,4.571725226E-1,3.118808350E-1,-4.960426927E-2,5.556410300E-1
2.518572083E-1,3.339144592E-1,3.550193994E-1,-1.209502405E-1,5.021619267E-1
2.618512083E-1,2.141044258E-1,3.413885164E-1,-6.461816490E-2,4.081204865E-1
2.718442084E-1,8.173541363E-2,3.054586188E-1,-5.850022316E-2,3.215710213E-1
2.818382083E-1,-4.344872262E-2,2.048975462E-1,-7.381466568E-2,2.220797172E-1
2.918312083E-1,-1.245959429E-1,1.153874919E-1,-6.046313345E-2,1.802615122E-1
3.018252084E-1,-2.104647167E-1,4.532279179E-2,-3.650475204E-2,2.183624266E-1
3.118192083E-1,-2.513180979E-1,-2.724115446E-2,1.002709776E-1,2.719506127E-1
3.218122083E-1,-2.054835468E-1,-7.728915431E-2,2.091841400E-1,3.032410028E-1
3.318062084E-1,-1.827116751E-1,-6.709621489E-2,2.188612819E-1,2.928919920E-1
3.417992083E-1,-1.569348827E-1,-5.355917975E-2,2.718224376E-1,3.184094546E-1
3.517932083E-1,-3.842318695E-2,2.036073580E-3,2.640631825E-1,2.668517402E-1
3.617862083E-1,7.674317054E-2,1.153297506E-1,1.482789570E-1,2.029214496E-1
3.717802083E-1,1.628471486E-1,1.645809212E-1,1.918471456E-2,2.323233236E-1
3.817742083E-1,2.134798335E-1,1.731533048E-1,-1.736564577E-2,2.754219888E-1
3.917672083E-1,1.646397039E-1,1.831043887E-1,-7.472741604E-4,2.462397362E-1
4.017612083E-1,1.368096070E-1,1.597871545E-1,3.288883388E-2,2.129095552E-1
4.117542083E-1,1.097448374E-1,1.488190936E-1,2.367186785E-2,1.864172987E-1
4.217482083E-1,7.303685809E-2,8.433051758E-2,-4.364361763E-3,1.116470622E-1
4.317412084E-1,1.367937829E-2,2.472202778E-2,-1.034284741E-1,1.072182508E-1
4.417352083E-1,-7.842006063E-2,4.424288414E-2,-1.921453536E-1,2.121956069E-1
4.517282083E-1,-1.384698508E-1,1.827838151E-1,-1.958782160E-1,3.015826556E-1
4.617222084E-1,-1.533770347E-1,2.907262666E-1,-8.419815123E-2,3.393163797E-1
