"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.149208332E-3,4.307353238E-2,9.785589483E-3,-2.145928144E-2,4.910791905E-2
1.214320830E-2,2.167825053E-1,-3.373804145E-2,1.245106101E-2,2.197451683E-1
2.213620831E-2,2.541354326E-1,-4.261185816E-2,-7.477419376E-3,2.577915831E-1
3.213020833E-2,1.044781772E-1,7.529349960E-3,3.210589170E-2,1.095589745E-1
4.212420830E-2,-1.311623478E-1,2.700997017E-2,5.515620053E-2,1.448285415E-1
5.211720831E-2,-2.607474823E-1,2.310210236E-2,-2.016587734E-2,2.625445091E-1
6.211120833E-2,-2.453540293E-1,2.411938998E-2,-4.155791581E-2,2.500148096E-1
7.210420835E-2,-1.529743625E-1,1.834244141E-2,-4.957737207E-2,1.618502906E-1
8.209820831E-2,-3.577008594E-2,-2.948696036E-3,-3.353962898E-2,4.912332001E-2
9.209220833E-2,1.105533246E-1,-1.511393784E-2,4.528083801E-3,1.116735073E-1
1.020852083E-1,1.437546191E-1,-1.098675376E-2,3.068384886E-2,1.474028421E-1
1.120792083E-1,1.087816731E-1,3.302635308E-3,2.773334384E-2,1.123098311E-1
1.220722083E-1,6.503540028E-2,9.856532654E-3,-1.964664459E-3,6.580740408E-2
1.320662083E-1,2.441194262E-3,-1.328560486E-3,-4.185436964E-2,4.194654647E-2
1.420602083E-1,9.175509274E-2,5.090302723E-2,-4.842430115E-2,1.155639570E-1
1.520532083E-1,-2.745112432E-2,2.331530646E-2,-1.461394608E-2,3.886817673E-2
1.620472083E-1,-7.750811426E-2,6.767261331E-3,5.098772049E-3,7.796987289E-2
1.720402083E-1,-4.583858930E-2,1.096352478E-2,-2.554005325E-2,5.360661773E-2
1.820342083E-1,3.656351656E-2,2.561747404E-3,-1.428708673E-2,3.933921885E-2
1.920282083E-1,2.924927104E-2,7.752508032E-3,2.575055301E-2,3.973301169E-2
2.020212083E-1,4.617984742E-3,7.657148167E-3,3.172465324E-2,3.296075431E-2
2.120152083E-1,6.569547784E-2,6.883378811E-3,-1.454144061E-2,6.763675189E-2
2.220082083E-1,8.732304946E-2,3.030129477E-2,-4.619592726E-2,1.033322173E-1
2.320022083E-1,3.723452110E-2,3.577091277E-2,-1.769133568E-2,5.457976841E-2
2.419962083E-1,-1.398473086E-2,2.393980280E-2,2.310761154E-2,3.609222307E-2
2.519892083E-1,-5.342098447E-2,2.762978417E-3,2.979097903E-2,6.122857227E-2
2.619832083E-1,-2.224200070E-1,-6.850473605E-2,-9.946113825E-3,2.329430908E-1
2.719762083E-1,-4.744424202E-1,-5.959206734E-2,1.549161315E-2,4.784211687E-1
2.819702083E-1,-4.123398737E-1,1.324379910E-1,-5.159232259E-2,4.361487827E-1
2.919642083E-1,3.955168130E-2,4.755479277E-2,-1.841504556E-1,1.942606087E-1
3.019572083E-1,4.839223648E-1,-7.396101052E-2,2.687965035E-2,4.902791060E-1
3.119512083E-1,4.674399409E-1,-3.074177284E-2,9.297482193E-2,4.775871360E-1
3.219442083E-1,1.591018425E-1,-4.788286268E-2,6.505553663E-2,1.784331463E-1
3.319382083E-1,-3.717851574E-2,-3.869705591E-3,-2.133239686E-2,4.303821337E-2
3.419322083E-1,-9.594109615E-2,-1.829808937E-2,-2.782982290E-2,1.015579295E-1
3.519252083E-1,-1.547160105E-1,-2.338316614E-2,-3.243450522E-2,1.597992913E-1
3.619192083E-1,-1.661317489E-1,-1.685449405E-2,-2.643643141E-2,1.690642389E-1
3.719122083E-1,-1.265798118E-1,5.445140548E-2,-2.432558656E-2,1.399254747E-1
3.819062083E-1,-1.271152889E-1,1.810889266E-1,2.810171843E-3,2.212676955E-1
3.919002083E-1,-3.420310523E-2,-3.040721160E-2,-1.178564787E-2,4.725835821E-2
4.018932083E-1,1.960489365E-1,-7.199047144E-2,4.308754742E-2,2.132471576E-1
4.118872083E-1,1.426546847E-1,-7.031359049E-3,-1.570562124E-3,1.428365001E-1
4.218802083E-1,-1.232871168E-1,-3.119520157E-2,1.188738942E-2,1.277269110E-1
4.318742083E-1,-2.286459577E-1,-1.709614394E-2,3.600481510E-2,2.320939440E-1
4.418682083E-1,-1.518899781E-1,-3.322756126E-2,-3.386999667E-2,1.591282909E-1
4.518612083E-1,-8.201651853E-3,-1.140202484E-3,3.259881198E-2,3.363405562E-2
4.618552083E-1,2.139445044E-2,9.005799321E-3,6.493332982E-3,2.410374046E-2
4.718482083E-1,4.271838712E-2,6.476190590E-2,1.125618249E-1,1.367081910E-1
4.818422083E-1,1.115886290E-1,6.861074424E-2,-8.490157127E-4,1.309968594E-1
4.918362083E-1,3.703838356E-2,1.624723786E-2,-2.635959899E-1,2.666808214E-1
5.018292083E-1,-8.937293708E-2,-5.276008464E-2,2.662354231E-2,1.071445818E-1
5.118232083E-1,-6.507585570E-2,-4.728345456E-2,1.000177932E-1,1.283516693E-1
5.218162083E-1,2.232826905E-2,4.680942809E-3,-6.492163539E-3,2.371942267E-2
5.318102083E-1,7.362223746E-2,1.643460458E-2,-4.103459001E-2,8.587297394E-2
5.418042083E-1,2.961093960E-2,2.564235211E-2,-3.055462539E-2,4.967819541E-2
5.517972083E-1,-7.762105688E-3,4.578127745E-2,-1.337550581E-2,4.832266347E-2
5.617912083E-1,5.329446534E-2,6.524911601E-2,-3.893719375E-2,9.281084114E-2
5.717842083E-1,2.829325128E-2,5.058216127E-2,-9.470325887E-2,1.110304929E-1
5.817782083E-1,-1.541842611E-1,-6.414287763E-2,-9.991663635E-2,1.946032614E-1
5.917722083E-1,-1.244914970E-1,-7.493184932E-2,6.084027886E-2,1.575260436E-1
6.017652083E-1,8.506898437E-2,-2.439493088E-2,1.418043351E-1,1.671535648E-1
6.117592083E-1,1.317152751E-1,5.201750653E-2,2.086345017E-2,1.431433486E-1
6.217522083E-1,-6.340556201E-3,9.765306953E-3,-7.559514284E-2,7.648653146E-2
6.317462083E-1,-4.609535515E-2,-1.888946671E-2,-8.942731619E-3,5.061191725E-2
6.417402083E-1,-9.745938051E-3,5.239784963E-2,5.615665913E-3,5.359154465E-2
6.517332083E-1,3.805674925E-2,1.245683605E-1,-1.368014574E-2,1.309684656E-1
6.617272083E-1,-7.582069919E-2,-5.503575702E-2,-8.214285493E-2,1.246000064E-1
6.717202083E-1,-1.869427203E-1,-1.125951358E-1,2.724919438E-2,2.199267239E-1
6.817142083E-1,2.309650183E-2,5.037383594E-2,1.045183951E-1,1.183007466E-1
6.917082083E-1,8.757362092E-2,1.062017902E-2,-5.683785975E-2,1.049403144E-1
7.017012083E-1,-1.785449127E-2,2.129778866E-2,-3.440209329E-2,4.422536244E-2
7.116952083E-1,-5.712981854E-2,4.532757919E-2,-1.032618284E-3,7.293470986E-2
7.216882083E-1,-3.293323617E-2,1.412468031E-4,-1.675870478E-2,3.695229603E-2
7.316822083E-1,-4.969851907E-2,-3.794838390E-2,-4.780683517E-3,6.271265880E-2
7.416762083E-1,-6.018529935E-2,-3.272283691E-2,3.537273109E-2,7.709918558E-2
7.516692083E-1,-3.752432372E-3,4.825341627E-3,-5.305178761E-3,8.093799616E-3
7.616641250E-1,4.582565233E-2,4.021559609E-2,-3.898747981E-2,7.236924873E-2
7.716571250E-1,5.386480641E-2,2.189445133E-2,-3.225908875E-3,5.823393217E-2
7.816511250E-1,-6.221452072E-2,-1.712020889E-2,1.087114334E-2,6.543645695E-2
7.916451250E-1,-1.051083243E-1,-2.132455794E-2,-3.611240387E-3,1.073104732E-1
8.016381250E-1,-4.655735828E-2,2.475014010E-2,-2.906066179E-2,6.020530798E-2
8.116321250E-1,5.018798584E-2,3.290072931E-2,-4.150821447E-2,7.296727884E-2
8.216251250E-1,2.554900680E-2,1.918057582E-2,1.895550370E-2,3.714777729E-2
8.316191250E-1,-5.853346093E-2,-2.900608169E-2,3.529262424E-2,7.425017272E-2
8.416131250E-1,-6.925425773E-2,-1.774635432E-2,-5.844292045E-3,7.173033567E-2
8.516061250E-1,-3.602515245E-2,6.485795556E-3,-3.098088741E-2,4.795510961E-2
8.616001250E-1,-2.050888963E-2,2.304836280E-2,-7.771534324E-3,3.181569310E-2
8.715931250E-1,6.280348152E-3,1.971909525E-2,-3.567970991E-3,2.100037874E-2
8.815871250E-1,2.706332602E-2,-2.497126535E-4,-2.046993256E-2,3.393381957E-2
8.915811250E-1,6.813776845E-2,4.105750378E-3,-6.850013137E-3,6.860419343E-2
9.015741250E-1,2.082712434E-2,1.013486926E-3,6.940644979E-3,2.197655152E-2
9.115681250E-1,-2.746702144E-2,8.680392634E-3,7.104367018E-4,2.881477405E-2
9.215611250E-1,-4.659763098E-2,1.997121988E-2,-1.946070313E-2,5.430384703E-2
9.315551250E-1,8.539949823E-3,9.264182299E-3,-5.015800059E-2,5.171634983E-2
9.415491250E-1,3.008471025E-2,1.620524755E-2,-2.867065251E-2,4.460612239E-2
9.515421250E-1,-1.891683899E-2,-2.747296002E-3,1.196457267E-2,2.255095190E-2
9.615361250E-1,-3.391394215E-2,-5.392037323E-3,-4.707008600E-3,3.466100790E-2
9.715291250E-1,-1.783066386E-2,1.719952089E-2,-1.688500464E-2,2.998098521E-2
9.815231250E-1,-2.101699440E-2,2.176380261E-2,-2.443785310E-2,3.889197631E-2
9.915171250E-1,-1.924389934E-2,-1.503210423E-2,-1.417598963E-2,2.823562468E-2
1.001510125E0,4.124205653E-3,8.509288486E-3,2.365198731E-3,9.747370304E-3
1.011504125E0,-5.621111132E-3,1.522699010E-2,1.037646890E-2,1.926471449E-2
1.021497125E0,-2.990733862E-2,-1.454093811E-2,-1.108982921E-2,3.505527202E-2
1.031491125E0,-3.284675220E-2,-3.421735782E-3,-1.085711002E-2,3.476340380E-2
1.041485125E0,-5.477269627E-3,1.682775674E-2,-1.155585229E-2,2.113555303E-2
1.051478125E0,2.172381314E-2,1.303463141E-3,-9.267836809E-3,2.365408786E-2
1.061472125E0,-2.784500739E-2,-1.042629814E-2,7.420701385E-3,3.064504753E-2
1.071465125E0,-5.520626731E-2,1.008991878E-3,4.375003695E-2,7.044725508E-2
1.081459125E0,-2.688838463E-2,2.227310423E-2,1.361290276E-2,3.747515873E-2
1.091453125E0,-4.265850797E-2,-2.903142571E-4,-4.168012261E-2,5.964113686E-2
1.101446125E0,-1.175186193E-2,-3.717486123E-2,2.147097588E-3,3.904723542E-2
1.111440125E0,6.115703350E-2,-1.485466864E-4,1.202830732E-2,6.232884557E-2
1.121433125E0,6.540006554E-2,2.140115647E-2,2.089677930E-2,7.191559953E-2
1.131427125E0,-2.197657730E-3,1.771852523E-3,5.553685427E-3,6.229974533E-3
1.141421125E0,-2.680666979E-2,-1.506761692E-2,5.198174715E-3,3.118736356E-2
1.151414125E0,-6.821310617E-2,1.505936687E-2,-3.835773468E-4,6.985670702E-2
1.161408125E0,-6.275122203E-2,2.275584670E-2,-1.761766076E-3,6.677311019E-2
1.171401125E0,-2.599602643E-2,2.529604163E-2,-7.694935799E-4,3.628050762E-2
1.181395125E0,-4.145712443E-3,2.576699831E-2,-3.172816157E-2,4.108285981E-2
1.191389125E0,-2.827845052E-2,-1.438888310E-2,-3.054059207E-2,4.403905636E-2
1.201382125E0,-5.547392361E-2,-1.913023495E-2,1.240896106E-2,5.997753250E-2
1.211376125E0,-2.132532539E-2,1.999737703E-2,-1.096469879E-2,3.122321589E-2
1.221369125E0,-2.506231746E-2,1.403925614E-2,-2.042490900E-2,3.524765775E-2
1.231363125E0,-1.885482196E-2,1.968078685E-2,-1.477474451E-2,3.100210892E-2
1.241357125E0,-2.387361506E-2,-5.260155201E-3,-2.246500254E-3,2.454924626E-2
1.251350125E0,-2.282394849E-2,-6.611556374E-4,-3.237778723E-2,3.961932429E-2
1.261344125E0,-9.759368375E-4,4.721005373E-3,-1.192188799E-2,1.285969509E-2
1.271337125E0,2.448861424E-2,8.304124307E-3,-1.962033212E-2,3.245933056E-2
1.281331125E0,3.486204989E-2,-9.654968167E-3,1.834446967E-2,4.055983851E-2
1.291325125E0,-4.851873368E-3,-1.314197349E-2,2.099384308E-2,2.523873194E-2
1.301318125E0,-4.681227861E-2,-9.293144289E-4,-3.134692311E-3,4.692631831E-2
1.311312125E0,-3.670445273E-2,-1.345022226E-2,3.287889361E-3,3.922926899E-2
1.321305125E0,-1.458321165E-2,-2.500670495E-2,1.298081875E-4,2.894861318E-2
1.331299125E0,-2.107875561E-2,1.268039977E-2,-1.444554627E-2,2.852683445E-2
1.341293125E0,-6.616409563E-2,2.548180036E-3,-4.026743531E-2,7.749611034E-2
1.351286125E0,-9.694785878E-2,-3.518013842E-2,-1.996590257E-2,1.050484018E-1
1.361280125E0,-6.755109172E-2,4.269767518E-2,2.910100758E-2,8.504769310E-2
1.371273125E0,-2.717670718E-2,4.432390463E-2,-2.003080666E-2,5.571727874E-2
1.381267125E0,1.006289368E-2,2.021154044E-2,-5.107893705E-2,5.584645026E-2
1.391261125E0,1.117074005E-3,2.580375354E-2,-3.782622278E-2,4.580288943E-2
1.401254125E0,3.249178967E-2,8.300771294E-3,2.485008180E-2,4.173901970E-2
1.411248125E0,6.838945454E-2,3.955721788E-2,9.849050045E-3,7.961717632E-2
1.421241125E0,5.331652030E-2,-2.180225719E-3,-2.206914604E-2,5.774471342E-2
1.431235125E0,1.388783153E-2,-3.769604914E-2,-1.086120307E-2,4.161525823E-2
1.441229125E0,-2.355748169E-2,9.418667564E-3,7.866843939E-3,2.656225660E-2
1.451222125E0,-2.244232630E-2,1.741573082E-2,-1.305157006E-2,3.126194445E-2
1.461216125E0,1.242029004E-2,-1.189447917E-2,-8.218261600E-3,1.905995968E-2
1.471209125E0,5.325274911E-2,8.512778543E-3,-1.985948324E-2,5.746931147E-2
1.481203125E0,3.776232367E-2,2.444844204E-2,-1.623830259E-2,4.782679038E-2
1.491197125E0,-3.064310107E-2,-3.717275988E-3,2.423261583E-2,3.924331095E-2
1.501190125E0,-3.603666415E-2,1.491296721E-2,1.547699511E-2,4.195920795E-2
1.511184125E0,-1.091192767E-2,1.909556279E-2,-2.037930071E-2,2.998377197E-2
1.521177125E0,-2.262050193E-3,-1.694428079E-2,-2.120843589E-2,2.724010418E-2
1.531171125E0,-1.097279353E-2,-2.748898504E-2,1.883972883E-2,3.508535135E-2
1.541164125E0,-1.933034677E-2,1.595564453E-2,-9.367824197E-3,2.675819554E-2
1.551158125E0,-1.805411886E-2,4.999373037E-2,-1.440110743E-2,5.507010241E-2
1.561152125E0,5.779884964E-2,1.390302333E-1,-6.503156304E-2,1.640098076E-1
1.571145125E0,-7.552568888E-2,-2.350940662E-2,-1.316284257E-1,1.535671330E-1
1.581139125E0,-1.203284622E-1,-1.240539243E-1,6.650096834E-2,1.851774655E-1
1.591132125E0,8.850782325E-2,1.414514557E-2,1.746803051E-1,1.963337182E-1
1.601126125E0,1.166138905E-1,4.169647655E-2,1.475837231E-3,1.238530327E-1
1.611120125E0,-7.328401258E-2,-3.793710060E-2,-9.067628145E-2,1.226048862E-1
1.621113125E0,-1.306895091E-1,-3.761713000E-2,-4.396170616E-2,1.429245530E-1
1.631107125E0,-3.888416681E-3,3.817969610E-2,7.905435562E-4,3.838533493E-2
1.641100125E0,5.859947965E-2,2.401705457E-2,6.920179725E-3,6.370719592E-2
1.651094125E0,-3.336423079E-2,9.992443873E-3,9.911615252E-3,3.621133728E-2
1.661088125E0,-1.592715945E-1,3.368398212E-3,-7.756916285E-3,1.594959457E-1
1.671081125E0,-8.939899374E-2,8.086644430E-3,-2.531259656E-2,9.326468487E-2
1.681075125E0,-1.550961161E-2,-1.335906051E-3,-1.624064147E-2,2.249646934E-2
1.691068125E0,-4.658010760E-2,7.692834456E-4,-7.149390578E-3,4.713185767E-2
1.701062125E0,-4.696761355E-2,8.660183195E-3,2.156862438E-2,5.240382670E-2
1.711056125E0,-7.007504236E-3,2.468991377E-2,-1.274634540E-2,2.865599900E-2
1.721049125E0,2.155084519E-2,1.318415567E-2,-3.794433653E-2,4.558545343E-2
1.731043125E0,3.460965117E-2,-3.382636182E-2,4.236307740E-3,4.857980045E-2
1.741036125E0,8.521659002E-3,-3.834649706E-3,3.417756021E-2,3.543203116E-2
1.751030125E0,-8.751162216E-3,1.794452925E-2,1.383509696E-2,2.428989251E-2
1.761023500E0,4.611934701E-2,-9.784036316E-4,-2.313509345E-2,5.160604607E-2
1.771016500E0,6.119277461E-2,1.485417528E-2,-3.526046455E-2,7.216995599E-2
1.781010500E0,4.800523851E-2,-9.921354521E-4,-1.265337467E-2,4.965475957E-2
